id,title,description,event_category,start_date,end_date,location,street,city,state,zip
1,"Noon Year's Eve","Ring in the new year with family crafts, treats and a special 3-2-1 countdown to 12:00pm!  Please register each child, caretakers do not need to register.",community,"2018-12-31 11:30:00","2018-12-31 12:30:00",NULL,"100 S. Wilcox","Castle Rock",CO,80104
2,"Breakfast with Santa","To welcome Santa this season the HRCA will be hosting a very special breakfast for the man in red and his festive friends!  Santa and Mrs. Claus will once again make a stop in Highlands Ranch this Christmas season for the annual Breakfast with Santa Event.  Guests are invited to celebrate the magic of the holiday season and enjoy a delicious breakfast buffet with Santa Claus as he travels the globe to visit Eastridge.  Bring your appetite for the best pancakes and sausage this side of the North Pole.  Want to treat your family to a magical morning and make your dreams come true?  Come enjoy sleigh loads of fun at the December 15 Event.  The ‘Jolly Ole Elf’ himself arrives for a 9:00 a.m. start and will be perched in his Royal Chair accompanied by his merry elves until 10:30 a.m. listening to every good child’s special wish for Christmas.  Remember to bring your camera to capture this favorite family tradition. Children may also enjoy creating crafts, writing letters to Santa and listening to festive holiday music and stories from Mrs. Claus in Santa’s Workshop!  
This is an event that even Ebenezer Scrooge would enjoy and is presented by the Highlands Ranch Community Association (HRCA) will be held at the Recreation Center at Eastridge, 9568 University Blvd, Highlands Ranch.  

The event costs $11 in advance and $15 at the door, if not sold out (all ages.)  Everyone needs a ticket to participate.  Children must be accompanied by a paying adult.  Sorry no refunds.

For more information or to purchase tickets for this fun and educational event, simply call 303-791-2500 or visit www.HRCAonline.org.",community,"2018-12-15 00:00:00","2018-12-15 00:00:00",NULL,NULL,"Highlands Ranch",CO,80126
3,"Polar Express Celebration","Enjoy a special reading of The Polar Express, with crafts, games and refreshments, at the Philip S. Miller Library in Castle Rock. For all ages. Tuesday, December 3 at 6:30PM.",community,"2019-12-09 00:00:00","2019-12-09 00:00:00","Douglas County Libraries in Highlands Ranch","9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
4,"A Storybook Holiday:  The Nutcracker Brunch Edition","Description: Join us at our holiday party extravaganza celebrating The Nutcracker! Our Lone Tree location will magically transform into the holiday wonderland of Clara's sugar-plum dreams. Festivities at this whimsical family event include a visit with Santa, live performances of your favorite Nutcracker pieces, music and entertainment, and make-and-take gift stations. The delicious menu of brunch bites includes selections for all appetites, young and old. Create your own hot cocoa concoction at our Cocoa Bar, and enjoy a selection of other beverages. Celebrate the beginning of the holiday season with DCL! Tickets are $22 for adults, $18 for children ages 3-12. An additional mimosa ticket is $15 for adults 21-plus (on-sale date 10/1). Your purchase of a beverage wristband supports the DCL Foundation. No taxpayer funds will be used for the purchase of alcoholic beverages.",community,"2019-12-08 09:00:00","2019-11-09 09:00:00","Lone Tree Library","10055 Library Way","Lone Tree",CO,80124
5,"Carriage Parade Day","Festive carolers, hot chocolate treats, holiday crafts and activities, and games will follow the Town of Parker's Carriage Parade.",community,"2018-12-08 12:30:00","2018-12-08 15:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
6,"Christmas Carriage Parade","The Town of Parker and Colorado Driving Society invite you to experience the Christmas Carriage Parade, an annual downtown Parker tradition. Come and experience that holiday feeling in the air and enjoy this all-equestrian parade.",festival,"2018-12-08 12:00:00","2018-12-08 01:00:00",NULL,NULL,Parker,CO,NULL
7,"A Storybook Holiday: The Nutcracker ","Join us at our holiday party extravaganza celebrating The Nutcracker! Our Lone Tree location will magically transform into the holiday wonderland of Clara's sugar-plum dreams. Festivities at this whimsical family event include a visit with Santa, live performances of your favorite Nutcracker vignettes, music and entertainment, and make-and-take gift stations. The delectable menu of light dinner bites includes selections for all appetites, young and old. Create your own hot cocoa concoction at our Cocoa Bar, and enjoy a selection of other beverages. Celebrate the beginning of the holiday season with DCL! Tickets are $25 for adults, $20 for children ages 3-12. Additional beer and wine tickets are $15 for adults 21-plus (on-sale date 10/1). Your purchase of a beverage wristband supports the DCL Foundation. No taxpayer funds will be used for the purchase of alcoholic beverages.",theater,"2019-12-07 17:00:00","2019-12-07 20:00:00","Douglas County Library in Lone Tree",NULL,"Lone Tree",CO,NULL
8,"Polar Express","Enjoy a special reading of this beloved story and fun holiday crafts and activities! All Ages.",community,"2018-12-04 19:00:00","2018-12-04 20:30:00",NULL,"100 S. Wilcox","Castle Rock",CO,80104
9,"The Polar Express","Enjoy a special reading of The Polar Express, plus holiday crafts and games, at the Philip S. Miller Library in Castle Rock. For all ages. Tuesday, December 3 at 7 PM.",community,"2019-12-03 00:00:00","2019-12-03 00:00:00","Douglas County Libraries in Castle Rock, Philip S. Miller Library","100 S. Wilcox","Castle Rock",CO,80104
10,"Starlighting: Stop and Play","Celebrate Castle Rock's annual Starlighting with festive events and activities at the Philip S. Miller Library in Castle Rock. For all ages. Saturday, November 23 at 12PM.",community,"2019-11-23 00:00:00","2019-11-23 00:00:00","Douglas County Libraries in Castle Rock, Philip S. Miller Library","100 S. Wilcox","Castle Rock",CO,80104
11,"Mayor's Holiday Lighting","Bundle up and bring your family and friends to kick off the holiday season at the Mayor's Holiday Lighting, held annually on the Friday after Thanksgiving at O'Brien Park.",festival,"2018-11-23 00:00:00","2018-11-23 00:00:00",NULL,"10795 Victorian Drive",Parker,CO,80138
12,"Dancing in the Starlight","Celebrate Castle Rock's annual Starlighting with festive events and activities at the Philip S. Miller Library in Castle Rock. For all ages. Friday, November 22 at 6PM.",community,"2019-11-22 00:00:00","2019-11-22 00:00:00","Douglas County Libraries in Castle Rock, Philip S. Miller Library","100 S. Wilcox","Castle Rock",CO,80104
13,"Turkey Day 5K FUN Run/Walk","Come celebrate the Thanksgiving holiday while getting a workout during the Turkey Day 5K FUN Run/Walk held on Nov. 22 at 8 a.m. starting at the Parker Recreation Center.",race,"2018-11-22 08:00:00","2018-11-22 10:00:00",NULL,"17301 East Lincoln Avenue",Parker,CO,80134
14,"Local Author Showcase","Are you interested in meeting local authors and learning more about their books? Then don't miss our local authors event, where 22 authors will be on hand to discuss their work, followed by a book sale and signing. Light refreshments served. Adults.",community,"2018-11-17 14:00:00","2018-11-17 16:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
15,"Frank Sinatra","The Highlands Ranch Cultural Affairs Association is bringing you an evening like no other.  The show promises to keep you thoroughly entertained and on your dancin’ toes! Frank Sinatra and Tuxedo Junction recreates the swing era from the 30’s and 40’s big band era. From swing to Latin rhythms, Tuxedo Junction will keep you dancing the whole night long. This is the show for you that does not stop from the moment the band hits the stage till the last screams from the crowd subsides!
Come and enjoy an evening of classic swing and standards featuring a performance from 'Ol Blue Eyes' and Tuxedo Junction as well as two of Colorado favorite vocal stylists:  Odell Stroud and Aubrie Hamrick.

Very light appetizers included.  Cash bar available.  Purchase from a selection of beer and wine.
Friday, November 9, 2018 • 6:30 – 8:00 p.m.• Highlands Ranch Mansion, 9950 Gateway Blvd, Highlands Ranch (Doors and cash bar open at 6:00 p.m.) • $30 in advance and $35 everyone, day of event, if not sold out. 21+. IDs will be checked • Info:  HRCAonline.org or 303-791-2500",music,"2018-11-09 00:00:00","2018-11-09 00:00:00",NULL,"9900 Gateway Blvd","Highlands Ranch",CO,80126
16,"An Evening with Whole30's Melissa Hartwig","The Whole30 co-founder, sports nutritionist, and author Melissa Hartwig will talk about her new cookbook, Whole30 Slow Cooker, followed by a book sale and signing. Adults.",community,"2018-11-05 19:00:00","2018-11-05 21:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
17,"Jewelry & Holiday Gift Fair","There’s something for everyone! 

Looking for special gifts or something truly different to give this holiday, sometimes the best place to look is your local craft fair.  A great alternative to crowded stores is checking gifts off your list at the Jewelry & Holiday Gift Fair, which makes it both easy and fun to browse for you or purchase that unique gift for someone special.  You’ll find everything from home décor items to jewelry to food to ornaments and more, from over 125 exhibits!  You’ll be delighted with the quality and selection.  .Best of all admission is free.  Saturday, November 3 from 9:00 a.m. – 5:00 p.m. at the Eastridge Recreation Center at 9568 University Blvd., Highlands Ranch.",festival,"2018-11-03 00:00:00","2018-11-03 00:00:00",NULL,"9568 University Blvd","Highlands Ranch",CO,80126
18,"Fall Fest","The whole family can have fun with boo-tacular games, pumpkin-y crafts, tasty treats, and spooky science at this annual autumn festival! Costumes encouraged. ",community,"2018-10-30 18:00:00","2018-10-30 19:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
19,"Goblin Give Out!","Hey Kids! Wear your Halloween Costumes and Trick or Treat at participating merchants throughout Downtown Littleton. 12:00 - 5:00 pm. 
Sponsored by the Historic Downtown Littleton Merchants Association.",general,"2017-10-28 06:00:00","2017-10-28 06:00:00","Downtown Littleton",,Littleton,CO,
20,"Take Me to the River: Memphis Soul and Rhythm and Blues Revue","Join the Lone Tree Arts Center on Friday, October 27 at 8pm for Take Me to the River. Take Me to the River is a live performance that brings together legends William Bell, Bobby Rush, and Charlie Musselwhite, in a show that reimagines the utopia of racial, gender, and generational collaboration of Memphis in its heyday.",music,"2017-10-27 12:00:00","2017-10-27 12:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
21,"An Evening with Cynthia Swanson","Join the award-winning author of the book club favorite The Bookseller to hear about her new suspense novel, The Glass Forest. Book sale and signing will follow the author's talk.

Cynthia Swanson, award-winning author of book club favorite, The Bookseller, will talk about her latest suspense novel, The Glass Forest, on Tuesday, October 23rd at 6:30 p m at Douglas County Libraries in Parker. Books will be sold at the event and a signing will follow the presentation. For more information and to register, visit dcl.org/authors-events.",community,"2018-10-23 18:30:00","2018-10-23 21:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
22,"Fieldhouse Fright Night","Fieldhouse Fright Night welcomes ghastly ghouls, spooky spirits and wicked witches of all shapes and sizes to the Parker Fieldhouse on Oct. 20 at 5:30 p.m. for an evening of family-friendly fun!",community,"2018-10-20 17:30:00","2018-10-20 21:00:00",NULL,"18700 East Plaza Drive",Parker,CO,80134
